NIT;Fecha de Corte;AÑO;Tipo_empresa;Ingresos Operacionales;Costos de ventas y de prestación de servicios;Otros ingresos;Gastos Operacionales de admon;Otros gastos;Otras ganancias (pérdidas);Ingresos financieros;Costos financieros;Impuesto de renta y complementarios;Gastos Operacionales de venta;Efectivo y equivalentes al efectivo;Clientes CP;Inventarios CP;Otros activos financieros;Propiedad planta y equipo;Deudores LP;Proveedores CP;Obligaciones Financieras CP;Proveedores LP;Obligaciones Financieras LP;Capital Social;Prima de emisión;Reservas;Ganancias acumuladas;Otros Activos Corrientes;Total Activo Corriente;Otros Activos No Corrientes;Total Activo No Corriente;Total Activo;Otros Pasivos Corrientes;Total Pasivo Corriente;Otros pasivos no Corrientes;Total Pasivo No Corriente;Total Pasivo;Otros Patrimonio;Total patrimonio;Total Pasivo mas Patrimonio;Utilidad Bruta;Utilidad Operacional;Otros ingresos o egresos;Utilidad antes de impuestos;Ganancias y pérdidas
800250626;31/12/2020;2020;Pymes;10698069;7232871;404721;1035979;317508;-4451;0;63469;550406;1;1438083;2107157;3166809;0;1142953;119242;1948917;302652;83752;0;195000;0;146731;4264806;115092;6827141;15546;1277741;8104882;635581;2887150;0;83752;2970902;661049;5267586;8238488;3465198;2516431;4;2452966;3003372
800250626;31/12/2020;2019;Pymes;10425068;7666747;249728;774801;272557;-10750;0;89975;521236;1;529568;2129632;2502124;0;1178435;119242;1093198;746475;137822;49641;195000;0;146731;3287425;128804;5290128;2;1297679;6587807;387820;2227493;0;187463;2414956;661049;4290205;6705161;2758321;1960690;4;1870719;2391955
800250626;31/12/2019;2018;Pymes;7979200;5880917;180485;739537;113291;1;1;85453;436093;1;284488;1666431;1971256;1;1095144;119242;782315;456979;47603;28951;195000;1;146731;2779023;151260;4073436;2865;1217251;5290687;287746;1527040;4;76558;1603598;661052;3781807;5385405;2098283;1425939;4;1340491;1776584
802008637;31/12/2020;2020;Pymes;6719066;5777255;224750;363546;137222;0;0;0;108114;1;1865025;1181903;3015517;0;242174;0;3112871;0;0;0;1000000;0;199861;2350833;0;6062445;458;242632;6305077;0;3112871;0;0;3112871;0;3550694;6663565;941811;665792;4;665796;773910
802008637;31/12/2020;2019;Pymes;6514733;5588617;219050;413141;126140;0;0;0;120425;1;743065;1015123;3253163;0;293093;0;1687952;0;0;633546;1000000;0;174779;2137487;544129;5555480;458;293551;5849031;572419;2260371;20463;654009;2914380;0;3312266;6226646;926116;605884;4;605888;726313
802021320;31/12/2020;2020;Pymes;5793521;4791506;0;373042;130744;0;0;0;97919;1;961361;1354175;2028280;0;906783;0;2865145;0;0;0;931000;0;72838;1169018;0;4343816;5790;912573;5256389;0;2865145;0;0;2865145;218386;2391242;5256387;1002015;498228;4;498232;596151
802021320;31/12/2020;2019;Pymes;5447841;4563863;0;354294;115415;0;0;0;87428;1;712195;1189410;2548571;0;856355;0;3114627;0;0;0;931000;0;72838;975468;0;4450176;5790;862145;5312321;0;3114627;0;0;3114627;218386;2197692;5312319;883978;414268;4;414272;501700
802021320;31/12/2019;2018;Pymes;5055522;4092954;0;456256;139252;6950;0;0;73552;1;81402;1216934;5002109;1;738045;1;3879993;1132968;1;1;931000;1;72838;808933;2;6300448;5796;743842;7044290;164;5013125;4;6;5013131;218389;2031161;7044292;962568;367059;4;367063;440615
806000387;31/12/2020;2020;Pymes;8286536;6046328;128504;1470710;39003;0;3142;470756;241418;1;710147;770840;2097990;0;4277865;220798;578476;3552168;0;0;1000000;0;500000;6606245;108361;3687338;4231301;8729964;12417302;50893;4181537;0;0;4181537;0;8106245;12287782;2240208;858998;4;391388;632806
806000387;31/12/2020;2019;Pymes;9107103;6577173;152907;1426986;16580;0;9303;844461;281998;1;1028;853318;2202373;0;4470788;1336564;1041724;5111585;280018;0;1000000;0;500000;6456278;135042;3191761;6057299;11864651;15056412;44902;6198211;0;280018;6478229;0;7956278;14434507;2529930;1239270;4;404116;686114
806000387;31/12/2019;2018;Pymes;14314346;10634730;91202;1591126;56636;1;56203;832185;679744;1;5998;788099;1986472;1;4453482;891468;1314357;1;334112;1;1000000;1;500000;6334163;147108;2927678;6586898;11931848;14859526;5156472;6470830;4;334117;6804947;4;7834168;14639115;3679616;2123055;4;1347077;2026821
806003144;31/12/2020;2020;Pymes;32047730;24680903;1036505;2657741;1611170;0;34406;805449;754815;1;4311452;4824279;10772455;0;20431311;0;3273168;1595820;0;7055256;1653490;0;391565;3274363;0;19908186;927612;21358923;41267109;7769025;12638013;805340;7860596;20498609;15876087;21195505;41694114;7366827;4134420;4;3363381;4118196
806003144;31/12/2020;2019;Pymes;37690932;29900626;1295442;2997107;1640833;0;192039;824631;354363;1;276373;5735819;10966426;0;20611560;0;5095944;1885111;0;11100416;1617700;0;315341;2946196;0;16978618;414551;21026111;38004729;5245902;12226957;799277;11899693;24126650;9619136;14498373;38625023;7790306;4447807;4;3815219;4169582
806003144;31/12/2019;2018;Pymes;29939946;23181722;962044;2651818;1430296;1;12820;706033;123983;1;426189;3189115;8993195;1;18760344;1;5657682;1;7325947;1;1617700;1;278062;11840378;2;12608502;461994;19222339;31830841;4707772;10365455;923879;8249827;18615282;4;13736145;32351427;6758224;3638153;4;2944944;3068927
806008047;31/12/2020;2020;Pymes;95943049;77193284;1313862;11395142;288775;0;1365752;2111341;2825091;1;5006594;25507571;0;0;362500;0;16981444;3927;0;0;1200000;1168708;611846;8133180;64691;30578856;261889;624389;31203245;2466521;19451892;0;0;19451892;0;11113734;30565626;18749765;8379709;4;7634124;10459215
806008047;31/12/2020;2019;Pymes;86194340;67126940;1058620;12268010;49558;0;1018353;1056230;2677940;1;1495034;23017311;0;0;342985;0;12782959;4617;0;0;1200000;1168708;611846;6624150;32393;24544738;168846;511831;25056569;2352508;15140084;0;0;15140084;0;9604704;24744788;19067400;7808451;4;7770578;10448518
806008047;31/12/2019;2018;Pymes;58765012;42178069;765271;11131480;310347;0;808924;1036222;2222873;1;3690275;20953016;0;310527;258828;0;16709111;57722;0;646;1200000;1168708;611846;3531515;0;24953818;235482;494310;25448128;2385054;19151887;29955;30601;19182488;0;6512069;25694557;16586943;5910386;4;5683092;7905965
810003907;31/12/2020;2020;Pymes;270666603;179110754;981862;435617;0;0;1288228;1151767;22557881;1;32363066;92248011;13490039;0;43606920;0;52147641;1454524;0;5394207;650000;861395;890000;108886122;0;138101116;660586;44267506;182368622;11578254;65180419;773068;6167275;71347694;0;111287517;182635211;91555849;92102093;4;92238558;114796439
810003907;31/12/2020;2019;Pymes;221940141;158055846;649410;347736;0;0;841069;1044084;16425467;1;9758749;65988155;13128314;0;26226697;0;31705987;0;0;451290;650000;861395;890000;71548743;0;88875218;745491;26972188;115847406;9227762;40933749;807657;1258947;42192696;0;73950138;116142834;63884295;64185968;4;63982957;80408424
810003907;31/12/2019;2018;Pymes;154921077;112747136;354048;278554;1;1;531172;832845;11606570;1;9836319;44269735;3835440;1;16429630;1;25150000;1;1;277485;650000;861395;890000;39328960;2;57941497;659297;17088928;75030425;7305098;32455099;788958;1066444;33521543;4;41730359;75251902;42173941;42249433;4;41947764;53554334
811009636;31/12/2020;2020;Pymes;22690843;17707981;25671;659439;686581;0;3198;598241;432677;1;2030850;9324943;6647105;0;1356192;0;4903512;8859028;0;100000;900000;0;162762;3403022;0;18002898;4002;1360194;19363092;1097419;14859959;0;100000;14959959;0;4465784;19425743;4982862;3662512;4;3067473;3500150
811009636;31/12/2020;2019;Pymes;20350491;17368574;494001;506537;145913;0;0;581059;118785;1;1913639;8048023;4107961;0;1276442;0;2650848;8691173;0;111625;900000;0;162762;2255464;0;14069623;4002;1280444;15350067;626764;11968785;0;111625;12080410;0;3318226;15398636;2981917;2823467;4;2242412;2361197
811009636;31/12/2019;2018;Pymes;24458697;21286378;30542;508803;1655977;1;42804;415967;35061;1;4330731;7313486;3747034;1;875829;1;2824153;10338735;119511;1;900000;1;162762;1553891;2;15391254;4008;879838;16271092;417861;13580749;4;119516;13700265;4;2616658;16316923;3172319;1038080;4;664921;699982
811016478;31/12/2020;2020;Pymes;60522746;0;412144;53888913;16559;0;72784;679823;1658675;1;4417601;9483634;662796;0;4206819;0;3479244;1025344;0;3384157;100000;0;218536;5925038;1158865;15722896;1263908;5470727;21193623;10223794;14728382;993195;4377352;19105734;0;6243574;25349308;60522746;7029417;4;6422382;8081057
811016478;31/12/2020;2019;Pymes;64840565;0;88407;57938197;56420;0;56808;780538;2164041;1;3442388;10734718;0;0;3669488;0;2707047;1746938;0;1531460;100000;0;1504560;5207918;1083646;15260752;966074;4635562;19896314;10209204;14663189;969683;2501143;17164332;0;6812478;23976810;64840565;6934354;4;6210628;8374669
811016478;31/12/2019;2018;Pymes;55232589;1;76547;50773222;59889;1;55937;553179;1504516;1;2778890;9122362;1;1;3788608;1;4369213;2039446;1;2019493;100000;1;1;3635601;1419900;13321154;777267;4565876;17887030;7805860;14214519;950252;2969746;17184265;4;3735607;20919872;55232588;4476023;4;3978785;5483301
811023351;31/12/2020;2020;Pymes;33183452;23667703;807253;1834576;449549;0;6706;35441;1851128;1;2130116;5441164;4908050;0;2613998;0;4253941;49578;0;0;156576;28787;2199235;6544650;71883;12551213;7502;2621500;15172713;1996225;6299744;341719;341719;6641463;0;8929248;15570711;9515749;8038876;4;8010145;9861273
811023351;31/12/2020;2019;Pymes;27502830;22906815;841528;1604609;323335;0;794;31925;67309;1;303819;4039607;3612180;0;2507991;323680;3840837;330724;0;115001;156576;28787;2199235;3515251;819622;8775228;8911;2840582;11615810;1572860;5744421;337601;452602;6197023;0;5899849;12096872;4596015;3509598;4;3478471;3545780
811023351;31/12/2019;2018;Pymes;21234684;17192292;903584;1326230;322400;1;3185;25966;530865;1;247198;3514943;4636862;1;2618024;1;3951470;218874;1;459905;156576;28787;2199235;3383903;91223;8490227;50363;2668388;11158615;1138025;5308369;4;459910;5768279;4;5768505;11536784;4042392;3297345;4;3274568;3805433
