NIT;NOMBRE;CLASIFICACION;PERFIL;CUPO;FECHA;CREDITO
860016695;PHILAAC S.A.S;RECUBRIMIENTO INDUSTRIAL;ADC_ESENCIAL;150000000;13/02/2019;60 DIAS FACT.
860027326;PINTURAS EVERY S.A.S;PINTURA DECORATIVA;ADC_DINAMICO;200000000;19/08/1997;60 DIAS FACT.
860039444;QUIMICA COMERCIAL ANDINA S.A.S;COMERCIALIZADOR;ADC_DEFAULT;100000000;21/11/1997;45 DIAS FACT.
860041889;EXIPLAST S.A.S;MATERIAL CONSTRUCCION;ADC_CUMBRE;2200000000;28/04/2011;90 DIAS FACT.
860042141;PRODUCTOS QUIMICOS PANAMERICANOS S.A.;ESTRATEGICO;ADC_DEFAULT;1;10/08/2003;CONTADO
860056150;BASF QUIMICA COLOMBIANA S.A.;;ADC_DEFAULT;1;13/08/1997;CONTADO
860059985;REFORPLAS S.A.S;MATERIAL CONSTRUCCION;ADC_DINAMICO;2500000000;24/09/1997;90 DIAS FACT.
860072172;EMPACOR S.A.;EMPAQUE;ADC_ESENCIAL;1;14/08/1997;CONTADO
860500805;PINTUBLER DE COLOMBIA S.A.;PINTURA DECORATIVA;ADC_DINAMICO;2900000000;12/05/2006;75 DIAS FACT.
860501575;CAVAR S.A;;ADC_ESENCIAL;500000000;29/12/1988;60 DIAS FACT.
860518811;QUIMICA COSMOS S.A.;PINTURA DECORATIVA;ADC_CUMBRE;250000000;19/05/2003;60 DIAS FACT.
890101676;FABRICA DE BOLSAS DE PAPEL UNIBOL S.A.S.;ADHESIVOS;ADC_ESENCIAL;100000000;2/09/2007;60 DIAS FACT.
890209207;PRETENSADOS DE CONCRETO DEL ORIENTE S.A.S.;ENERGIA;ADC_CUMBRE;3500000000;21/08/2014;90 DIAS FACT.
890300484;PINTURAS ALGRECO S.A.;PINTURA DECORATIVA;ADC_DINAMICO;1500000000;15/08/1997;60 DIAS FACT.
890301690;INGREDION COLOMBIA S.A.;;ADC_DEFAULT;1;18/09/2019;CONTADO
890304607;IMPADOC S.A;;ADC_DEFAULT;100000000;15/06/2021;60 DIAS FACT.
890310171;INDUSTRIAS LEMBER S.A;PINTURA DECORATIVA;ADC_DINAMICO;950000000;17/09/2013;90 DIAS FACT.
890406589;ETEC S.A.S.;INFRAESTRUCTURA;ADC_DINAMICO;600000000;24/05/1999;60 DIAS FACT.
890503314;CERAMICA ITALIA S.A;MATERIAL CONSTRUCCION;ADC_DINAMICO;500000000;11/02/2010;60 DIAS FACT.
890800148;ETEX  COLOMBIA S.A;MATERIAL CONSTRUCCION;ADC_DINAMICO;250000000;14/08/1997;60 DIAS FACT.
890805453;TECNOLOGIA EN CUBRIMIENTO SA;PINTURA DECORATIVA;ADC_ESENCIAL;200000000;17/10/2011;60 DIAS FACT.
890900082;EDUARDONO S.A.S;NAUTICA;ADC_CUMBRE;2000000000;14/08/1997;60 DIAS FACT.
890900120;SUMINISTROS DE COLOMBIA S.A.S;RECUBRIMIENTO INDUSTRIAL;ADC_ESENCIAL;300000000;23/11/2009;GIR 60 DIAS BL
890900148;PINTUCO COLOMBIA S.A.S.;PINTURA DECORATIVA;ADC_CUMBRE;20000000000;13/08/1997;45 DIAS FACT.
890900253;ADMINISTRADORA DE INVERSIONES S.A.S;;ADC_DEFAULT;1;8/12/2008;CONTADO
890900533;INDUBOTON S.A.S;TEXTILES;ADC_DINAMICO;1100000000;15/08/1997;90 DIAS FACT.
890903310;ANHIDRIDOS Y DERIVADOS DE COLOMBIA S.A.S.;;ADC_ESENCIAL;1;23/10/2014;CONTADO
890903436;MCM COMPANY S.A.S.;MATERIAL CONSTRUCCION;ADC_ESENCIAL;50000000;18/09/2019;10 DIAS FACT.
890904138;AMTEX S.A.;;ADC_ESENCIAL;600000000;19/08/1997;60 DIAS FACT.
890910468;HRA UNIQUIMICA S.A;;ADC_DEFAULT;1;29/10/2018;CONTADO
890913183;CENTRO DE SERVICIOS MUNDIAL S.A.S.;;ADC_DEFAULT;1;15/08/2001;60 DIAS FACT.
890913952;FIBRATORE S.A.S;ENERGIA;ADC_ESENCIAL;100000000;15/08/1997;90 DIAS FACT.
890915492;DEQUIM S.A.S;PINTURA DECORATIVA;ADC_ESENCIAL;30000000;30/11/2017;60 DIAS FACT.
890917018;UNION COMERCIAL ROPTIE S.A. - UNICOR S.A.;COMERCIALIZADOR1;ADC_CUMBRE;800000000;18/02/2009;90 DIAS FACT.
890925108;PAPELES Y CARTONES S.A. - PAPELSA S.A;EMPAQUE;ADC_ESENCIAL;200000000;13/12/2008;90 DIAS FACT.
890927404;FIRPLAK S.A.;MATERIAL CONSTRUCCION;ADC_CUMBRE;1500000000;15/08/1997;90 DIAS FACT.
890932744;SUMINISTROS GLAS S.A;COMERCIALIZADOR;ADC_DINAMICO;500000000;17/12/2015;60 DIAS FACT.
890934641;REENCAUCHES GIGANTES S.A.;PINTURA DECORATIVA;ADC_ESENCIAL;1;15/06/2021;CONTADO
890935493;MAPEI COLOMBIA S.A.S.;MATERIAL CONSTRUCCION;ADC_ESENCIAL;150000000;31/03/2014;60 DIAS FACT.
890941912;QUIMIRESINAS DE COLOMBIA S.A.S.;COMERCIALIZADOR1;ADC_DEFAULT;300000000;13/12/2008;100 DIAS FACT.
891400754;C Y P DEL R S.A.;ADHESIVOS;ADC_ESENCIAL;60000000;15/07/2009;45 DIAS FACT.
892200994;ALMACEN FERROMOTORES S.A;PINTURA DECORATIVA;ADC_DINAMICO;1500000000;21/08/2014;75 DIAS FACT.
900052603;PINTURAS Y SOLVENTES SUPRATECH S.A.S.;RECUBRIMIENTO INDUSTRIAL;ADC_ESENCIAL;200000000;27/07/2022;60 DIAS FACT.
900054587;CONSTRUCENTER SOLO TEJAS SAS;MATERIAL CONSTRUCCION;ADC_DINAMICO;250000000;22/06/2017;60 DIAS FACT.
900056795;GRUPO QUINDICOLOR S.A.S;MATERIAL CONSTRUCCION;ADC_ESENCIAL;100000000;4/03/2019;60 DIAS FACT.
900112215;TECNIDECOR SA;INDUSTRIALES;ADC_DINAMICO;450000000;15/11/2019;60 DIAS FACT.
900187140;NOVAQUIMICA COLOMBIA S.A.;ESPECIALES;ADC_DINAMICO;50000000;14/03/2022;60 DIAS FACT.
900304305;PINTURAS IMPERIO S.A.S.;PINTURA DECORATIVA;ADC_DINAMICO;450000000;11/02/2010;60 DIAS FACT.
900361775;GLOBAL LATICES S.A.S;PINTURA DECORATIVA;ADC_DEFAULT;1;3/06/2014;CONTADO
900481586;CORLANC S.A.S;PINTURA DECORATIVA;ADC_DINAMICO;1000000000;26/09/2012;60 DIAS FACT.
900488165;SERVICONSTRUCCIONES PJ S.A.S.;PINTURA DECORATIVA;ADC_ESENCIAL;80000000;20/05/2021;60 DIAS FACT.
900506207;CENTRO DE ACABADOS Y REVESTIMIENTOS EXTRACOLOR S.A.S.;PINTURA DECORATIVA;ADC_ESENCIAL;50000000;24/06/2014;60 DIAS FACT.
900648424;INDUSTRIAS AUTOLACK S.A.S;AUTOMOTRIZ;ADC_CUMBRE;250000000;14/01/2014;60 DIAS FACT.
900749094;NOVASUIN S.A.S;MANUFACTURA;ADC_DINAMICO;700000000;17/01/2018;60 DIAS FACT.
900839078;O-TEK CENTRAL S.A.S.;INFRAESTRUCTURA;ADC_CUMBRE;15000000000;15/05/2017;90 DIAS FACT.
900859896;SET PRODUCTS S.A.S;INDUSTRIALES;ADC_DEFAULT;1;26/04/2022;CONTADO
901026852;ANDERCOL INTERNATIONAL SAS;;ADC_DEFAULT;200000000;22/06/2017;60 DIAS FACT.
901167792;AB MARINE GROUP SAS;NAUTICA;ADC_CUMBRE;200000;26/11/2018;60 DIAS FACT.
