NIT;AÑO;K DE W / VENTAS;CAPITAL DE TRABAJO;RAZON CORRIENTE;PRUEBA ACIDA;DIAS INVENTARIO;DIAS CARTERA;DIAS PROVEEDORES;ENDEUDAMIENTO TOTAL;ENDEUDAMIENTO FINANCIERO;MARGEN BRUTO;MARGEN OPERACIONAL;MARGEN NETO
800194203;2020;23;2861643.0;2.0;1.3;113;105;139;38.7;16.0;23.5;13.6;25.8
800194203;2019;23;2832805.0;1.9;1.2;97;88;102;34.3;18.2;24.1;15.3;22.7
800194203;2018;18;2172343.0;1.7;1.0;99;85;125;33.7;3.2;20.4;10.9;15.5
800200304;2020;10;3690407.0;1.8;1.3;51;65;86;53.8;0.0;22.9;17.0;18.2
800200304;2019;9;3408697.0;1.9;1.5;26;67;65;54.5;1.7;16.8;11.5;10.9
800200304;2018;15;5099890.0;1.7;1.1;49;73;70;54.5;11.9;15.5;10.6;10.1
800203758;2020;39;22772102.0;2.9;2.2;107;143;111;32.7;20.4;37.9;28.6;32.7
800203758;2019;27;17621902.0;2.6;1.9;97;109;112;34.8;2.9;37.8;30.2;35.2
800203758;2018;26;14148678.0;2.9;2.2;96;103;107;30.7;0.2;35.6;11.0;16.1
800207932;2020;0;-406863.0;1.3;1.0;10;29;43;63.6;20.0;8.2;6.6;7.3
800207932;2019;-1;-966656.0;1.3;1.1;9;36;56;66.5;23.6;10.0;6.8;7.4
800207932;2018;-12;-4094591.0;1.1;0.9;13;51;120;70.5;23.9;10.3;2.1;1.8
800221789;2020;5;35237801.0;1.6;1.1;51;47;88;61.2;57.3;24.6;11.7;12.9
800221789;2019;9;52957235.0;1.5;1.0;45;62;86;59.9;58.5;27.0;14.4;16.0
800221789;2018;8;45363951.0;1.4;1.0;47;58;85;58.5;57.0;29.6;13.9;14.1
800226571;2020;23;1829102.0;1.8;0.8;88;51;46;37.8;21.3;17.3;15.6;16.5
800226571;2019;22;1494827.0;1.5;0.7;117;51;80;45.3;11.2;22.1;19.5;20.7
800250626;2020;30;3241297.0;2.4;1.3;157;70;101;36.7;10.2;32.4;23.5;28.1
800250626;2019;32;3400736.0;2.4;1.3;117;73;57;36.7;33.0;26.5;18.8;22.9
800250626;2018;35;2807769.0;2.7;1.4;120;75;50;30.3;30.3;26.3;17.9;22.3
802008637;2020;16;1084549.0;1.9;1.0;187;63;193;49.4;0.0;14.0;9.9;11.5
802008637;2019;39;2580334.0;2.5;1.0;209;56;108;49.8;21.7;14.2;9.3;11.1
802021320;2020;8;517310.0;1.5;0.8;152;84;215;54.5;0.0;17.3;8.6;10.3
802021320;2019;11;623354.0;1.4;0.6;201;78;245;58.6;0.0;16.2;7.6;9.2
802021320;2018;46;2339049.0;1.3;0.3;439;86;341;71.2;22.6;19.0;7.3;8.7
806000387;2020;27;2290354.0;0.9;0.4;124;33;34;33.7;84.9;27.0;10.4;7.6
806000387;2019;19;1733949.0;0.5;0.2;120;33;72;43.0;78.9;27.8;13.6;7.5
806000387;2018;7;1126102.0;0.5;0.1;67;19;55;45.8;0.0;25.7;14.8;14.2
806003144;2020;38;12323566.0;1.6;0.7;157;54;47;49.7;42.2;23.0;12.9;12.9
806003144;2019;30;11606301.0;1.4;0.5;132;54;61;63.5;53.8;20.7;11.8;11.1
806003144;2018;-2;-801319.0;1.2;0.3;139;38;201;58.5;0.0;22.6;12.2;10.3
806008047;2020;8;8526127.0;1.6;1.6;0;95;79;62.3;0.0;19.5;8.7;10.9
806008047;2019;11;10234352.0;1.6;1.6;0;96;68;60.4;0.0;22.1;9.1;12.1
806008047;2018;7;4243905.0;1.3;1.3;0;128;142;75.4;0.3;28.2;10.1;13.5
810003907;2020;19;53590409.0;2.1;1.9;27;122;104;39.1;9.6;33.8;34.0;42.4
810003907;2019;21;47410482.0;2.2;1.9;29;107;72;36.4;1.1;28.8;28.9;36.2
810003907;2018;14;22955174.0;1.8;1.7;12;102;80;44.7;0.8;27.2;27.3;34.6
811009636;2020;48;11068536.0;1.2;0.8;135;147;99;77.3;59.9;22.0;16.1;15.4
811009636;2019;46;9505136.0;1.2;0.8;85;142;54;78.7;72.9;14.7;13.9;11.6
811009636;2018;33;8116856.0;1.1;0.9;63;107;49;84.2;75.5;13.0;4.2;2.9
811016478;2020;11;6667186.0;1.1;1.0;1000;56;1000;90.1;23.1;100.0;11.6;13.4
811016478;2019;12;8027671.0;1.0;1.0;0;59;1000;86.3;19.1;100.0;10.7;12.9
811016478;2018;8;4753149.0;0.9;0.9;360;59;1572917040;96.1;23.6;100.0;8.1;9.9
811023351;2020;18;6095273.0;2.0;1.2;74;59;64;43.8;0.7;28.7;24.2;29.7
811023351;2019;13;3810950.0;1.5;0.9;56;52;60;53.3;7.2;16.7;12.8;12.9
811023351;2018;19;4200334.0;1.6;0.7;97;59;82;51.7;11.8;19.0;15.5;17.9
811024414;2020;30;5829004.0;2.5;1.7;98;91;70;28.8;1.3;37.1;30.4;36.7
811024414;2019;29;5125813.0;2.1;1.4;86;89;62;32.0;26.3;36.1;27.8;33.1
811024414;2018;30;4547719.0;2.7;1.9;84;99;66;24.6;0.7;37.1;28.7;34.0
816006799;2020;33;95644141.0;2.8;2.2;59;158;110;68.7;33.0;25.3;12.4;16.9
816006799;2019;46;98404740.0;1.9;1.4;105;174;116;79.0;52.3;23.8;8.0;10.9
816006799;2018;39;53256635.0;2.5;1.5;119;135;109;75.6;43.5;18.5;-17.0;-17.0
817002676;2020;-25;-81901840.0;0.7;0.4;54;33;174;47.0;0.8;-3.6;-6.4;-7.7
817002676;2019;-8;-29816658.0;0.8;0.4;39;30;103;33.7;0.4;7.2;4.8;7.2
817002676;2018;-4;-17161978.0;0.9;0.5;40;27;91;28.6;0.0;12.2;4.5;6.6
817002925;2020;54;1797942.0;2.1;1.7;91;178;62;53.1;67.6;33.5;23.1;18.2
817002925;2019;39;2157606.0;2.2;1.9;35;145;42;57.1;71.9;37.6;23.9;20.9
830000556;2020;18;15108123.0;2.2;1.8;32;71;40;30.8;44.3;25.2;18.5;21.9
830000556;2019;19;14772766.0;2.0;1.7;31;85;51;26.3;19.8;23.9;17.0;20.4
830000556;2018;20;12624355.0;1.6;1.4;28;83;42;31.0;30.1;19.5;5.6;6.5
830006833;2020;25;3635633.0;1.4;0.8;107;89;104;65.4;19.0;32.2;25.1;27.9
830006833;2019;25;3367856.0;1.4;0.8;98;93;98;73.3;32.9;27.3;18.2;18.2
830006833;2018;28;2781593.0;1.5;1.0;91;114;107;67.9;29.6;27.0;19.3;18.5
830027231;2020;-3;-6765217.0;1.1;0.7;170;146;373;79.8;20.4;20.8;14.0;17.5
830027231;2019;-14;-16165810.0;1.1;0.7;196;163;470;94.5;23.9;21.1;15.0;17.1
830027231;2018;42;30386224.0;1.2;0.8;148;204;212;98.9;57.3;21.0;14.8;18.4
830041598;2020;31;21069565.0;4.2;3.4;133;103;120;18.4;5.2;33.7;6.3;10.5
830041598;2019;31;39970373.0;4.3;3.3;74;98;53;18.3;11.5;26.5;5.5;12.2
