NIT;AÑO;K DE W / VENTAS;CAPITAL DE TRABAJO;RAZON CORRIENTE;PRUEBA ACIDA;DIAS INVENTARIO;DIAS CARTERA;DIAS PROVEEDORES;ENDEUDAMIENTO TOTAL;ENDEUDAMIENTO FINANCIERO;MARGEN BRUTO;MARGEN OPERACIONAL;MARGEN NETO
890900120;2020;8;24694363.0;1.5;1.0;77;47;105;53.7;38.4;35.9;10.9;10.9
890900120;2019;9;28611012.0;1.5;0.9;65;44;81;56.5;46.2;32.0;5.9;6.8
890900120;2018;22;69415587.0;1.8;1.3;63;80;61;45.7;30.0;32.2;7.9;10.1
890900148;2020;30;149675801.0;2.2;1.7;72;140;117;79.3;26.6;31.3;9.8;13.6
890900148;2019;35;189807752.0;2.2;1.7;74;160;120;84.3;29.6;30.6;7.8;10.4
890900148;2018;40;195064708.0;2.0;1.5;84;173;123;83.1;37.2;30.3;5.1;5.8
890900253;2020;98;1039429.0;10.4;10.4;0;1026;1000;9.5;0.0;100.0;42.2;58.2
890900253;2019;265;3949389.0;8.8;8.8;0;1449;1000;11.1;0.0;100.0;95.0;122.0
890900253;2018;-525;-10796468.0;1.9;1.9;360;1086;-2147483648;53.2;0.0;100.0;94.0;128.4
890900453;2020;34;11731226.0;1.7;1.2;86;121;83;77.0;60.8;31.5;19.6;17.6
890900453;2019;32;15220915.0;1.5;1.0;82;93;47;74.5;64.6;31.4;22.7;23.4
890900453;2018;30;12666699.0;1.6;1.1;85;105;81;72.1;46.5;30.7;22.1;23.0
890900533;2020;43;3869137.0;10.2;8.9;148;110;55;26.7;32.8;49.5;23.7;25.4
890900533;2019;34;5069119.0;7.7;6.8;109;96;52;21.9;53.7;53.6;22.0;28.7
890900533;2018;42;5411443.0;11.5;10.3;124;109;30;22.6;65.1;54.0;21.0;31.1
890900652;2020;24;73316788.0;1.9;0.7;144;39;69;34.2;29.6;35.1;13.7;16.6
890900652;2019;29;71156880.0;2.2;0.8;151;44;63;36.7;47.2;31.7;9.5;9.7
890900652;2018;33;74974990.0;2.3;1.0;174;66;89;40.1;41.1;35.2;10.1;14.3
890903295;2020;12;30086213.0;1.0;1.0;6;122;89;66.4;42.1;5.0;-3.0;-4.9
890903295;2019;11;27565252.0;1.4;1.4;3;102;69;64.7;48.6;6.7;-1.6;-3.9
890903295;2018;11;26153359.0;1.8;1.8;2;105;75;50.9;5.2;12.3;2.2;2.8
890903310;2020;21;65865898.0;1.6;1.1;70;122;129;55.4;36.0;19.7;7.1;6.8
890903310;2019;22;66717353.0;1.7;1.1;76;107;108;58.1;48.1;18.6;5.7;4.1
890903310;2018;23;73197843.0;1.7;1.0;77;97;90;58.4;50.0;12.6;0.6;-2.3
890903436;2020;47;26749151.0;2.6;2.1;95;196;134;32.6;1.9;32.1;7.4;8.2
890903436;2019;23;30128262.0;1.8;1.5;64;135;140;50.3;8.5;32.1;2.3;2.6
890903436;2018;29;36157631.0;2.1;1.7;62;146;123;42.7;0.6;34.3;-0.3;0.4
890904138;2020;41;64771341.0;1.8;1.0;168;140;157;37.6;16.8;26.2;19.8;23.7
890904138;2019;37;57020351.0;1.8;1.1;136;132;134;37.2;20.2;24.1;18.4;21.1
890904138;2018;37;49003949.0;1.6;0.9;159;161;190;41.0;9.1;18.2;2.4;2.9
890908649;2020;46;83961970.0;4.2;2.2;144;100;56;74.9;71.1;22.7;5.0;2.6
890908649;2019;43;83066248.0;2.0;1.1;140;112;85;76.5;60.6;21.0;3.9;1.8
890908649;2018;44;79237625.0;1.9;1.0;157;109;94;78.6;59.8;21.8;2.6;-0.7
890910468;2020;17;5677657.0;1.8;1.3;47;75;64;67.5;53.7;25.4;13.4;19.3
890910468;2019;23;6933686.0;1.6;1.0;69;74;59;75.4;48.0;20.9;12.0;14.5
890910468;2018;15;3990228.0;1.8;1.2;72;89;113;74.9;15.7;18.6;9.8;11.4
890911327;2020;56;34943924.0;2.3;1.7;134;197;122;56.8;61.6;39.1;10.8;12.0
890911327;2019;67;36159999.0;2.1;1.4;164;203;100;57.7;71.4;40.1;6.5;3.5
890911327;2018;58;30649392.0;1.5;0.9;219;159;132;58.8;62.5;40.4;8.9;7.1
890913183;2020;32;7239303.0;1.5;1.5;0;319;258;59.9;0.5;21.1;6.0;5.7
890913183;2019;40;10140106.0;1.8;1.8;0;202;108;43.7;0.9;49.6;6.6;8.3
890913183;2018;18;6705400.0;2.3;2.3;0;80;20;25.5;7.8;33.1;2.0;4.4
890913952;2020;51;7892883.0;3.0;3.0;0;189;3;19.2;0.0;6.0;2.3;3.8
890913952;2019;27;8481839.0;2.1;1.8;26;85;6;27.1;0.0;21.9;11.3;13.8
890913952;2018;19;6655552.0;1.1;0.8;69;99;104;54.6;19.9;20.6;1.7;1.8
890915492;2020;29;5278626.0;2.3;1.7;77;92;58;57.3;59.6;31.7;14.9;16.9
890915492;2019;27;5532902.0;2.1;1.3;85;81;58;62.2;54.4;28.4;12.9;14.2
890915492;2018;29;5289993.0;1.8;1.1;100;86;69;69.4;54.2;29.4;13.8;14.6
890917018;2020;27;17344433.0;1.6;0.9;107;78;81;62.7;51.3;21.2;13.9;11.3
890917018;2019;36;19611879.0;1.4;0.9;98;102;63;63.6;65.6;19.3;12.6;9.6
890917018;2018;30;15410342.0;1.4;0.9;79;108;78;61.2;61.2;18.7;13.0;10.9
890917295;2020;20;34683222.0;2.7;1.6;116;101;153;37.4;6.7;25.3;12.4;15.0
890917295;2019;36;59237482.0;1.8;1.0;122;101;83;34.9;35.0;25.3;12.8;14.5
890917295;2018;40;58897611.0;1.4;0.8;126;114;87;39.0;43.8;23.0;13.4;15.6
890925108;2020;23;74511907.0;1.6;1.3;42;120;93;27.7;8.1;31.1;23.3;30.0
890925108;2019;22;73998749.0;1.8;1.4;39;117;86;31.7;20.7;26.0;18.4;24.0
890925108;2018;31;89023668.0;2.1;1.7;37;128;57;36.7;41.1;24.3;16.6;20.0
890925215;2020;33;159376538.0;2.1;1.6;47;127;54;51.1;52.8;26.2;13.5;14.3
890925215;2019;33;140537015.0;1.6;1.0;81;116;74;61.5;58.1;23.8;10.3;12.0
890925215;2018;42;152199471.0;1.5;1.0;90;135;69;62.8;64.7;24.4;10.0;10.1
890927404;2020;4;1072934.0;1.1;0.6;103;40;143;81.1;31.2;41.9;28.9;30.3
890927404;2019;8;2050822.0;1.1;0.6;76;53;113;77.3;31.3;37.4;23.6;22.7
890927404;2018;7;1853525.0;1.3;0.8;73;59;125;63.0;9.6;39.5;26.0;25.5
890932744;2020;9;1550447.0;1.9;1.2;94;49;112;53.1;6.2;19.6;14.6;15.8
890932744;2019;8;1676659.0;1.9;1.2;68;37;76;51.2;5.7;20.3;16.5;17.8
890932744;2018;15;2505211.0;1.7;0.8;110;50;106;59.3;5.1;20.8;15.5;16.2
890934641;2020;8;573581.0;0.6;0.5;97;151;306;100.5;37.4;42.1;34.8;33.1
890934641;2019;12;781140.0;0.6;0.5;83;162;232;100.1;38.1;20.3;9.7;1.4
890934641;2018;25;1884788.0;0.8;0.5;122;151;194;90.3;39.6;18.4;10.9;6.1
890935493;2020;-10;-4966727.0;1.6;1.0;108;88;309;37.0;0.7;37.8;38.8;10.2
890935493;2019;-62;-26312971.0;0.8;0.4;114;65;569;68.2;1.1;35.9;24.6;19.4
890935493;2018;-79;-22239329.0;0.6;0.4;117;56;655;66.2;2.3;36.2;16.5;5.6
890938020;2019;26;17752531.0;1.1;0.8;87;106;102;88.8;60.3;14.6;1.9;2.1
890938020;2018;18;18104287.0;0.9;0.7;63;105;109;104.9;57.7;14.2;3.0;3.3
890941912;2020;13;2393356.0;3.7;3.0;31;55;39;21.8;0.0;21.6;12.4;15.0
890941912;2019;17;3104817.0;4.2;3.4;24;63;24;17.7;0.0;19.3;9.5;10.2
890941912;2018;16;2450540.0;3.7;2.6;43;44;23;24.4;0.0;18.4;8.7;10.7
891400378;2020;2;15423225.0;0.9;0.6;51;57;113;63.2;42.0;23.6;11.9;11.0
891400378;2019;-9;-38886585.0;0.9;0.6;44;45;137;66.7;38.3;14.9;2.7;0.2
891400378;2018;-9;-37294079.0;0.8;0.6;39;43;137;61.7;29.8;20.4;2.4;-0.6
891400754;2020;22;30137790.0;1.4;1.3;22;93;38;57.2;72.7;21.3;20.1;18.2
891400754;2019;24;31629490.0;1.6;1.2;59;88;58;59.4;70.1;22.0;20.7;19.7
891400754;2018;26;28216260.0;1.8;1.3;63;103;74;61.2;66.9;23.0;7.2;5.0
892200994;2020;21;6550495.0;1.5;0.7;131;49;94;71.5;49.7;26.1;14.9;13.2
892200994;2019;24;8198663.0;1.3;0.7;120;78;107;75.4;50.1;27.5;16.2;14.1
892200994;2018;19;6554377.0;1.3;0.7;101;75;106;74.8;45.4;24.2;15.3;14.2
900007650;2019;22;28530979.0;3.2;2.6;87;84;95;23.7;6.2;39.1;11.1;15.6
900007650;2018;25;34174705.0;2.7;2.0;103;101;116;26.1;0.0;37.1;8.5;12.6
900052603;2020;15;581517.0;1.5;0.9;88;106;152;66.7;28.6;18.8;5.4;7.1
900052603;2019;23;906910.0;1.8;1.2;71;136;135;63.9;31.7;16.4;5.6;7.4
900052603;2018;21;900255.0;1.8;0.7;129;62;111;62.5;31.6;13.9;5.3;6.6
900054587;2020;-2;-231305.0;1.2;0.6;22;3;36;30.4;0.0;20.2;15.0;16.3
900054587;2019;1;141183.0;1.5;0.5;57;0;52;38.6;0.0;22.4;12.8;9.8
900054587;2018;9;1151635.0;4.0;1.3;46;8;14;16.7;0.1;18.1;9.0;9.6
900056795;2020;16;1563401.0;2.5;1.1;106;14;48;33.8;0.0;24.0;20.0;23.5
900056795;2019;21;1841234.0;3.7;1.5;101;23;31;24.6;0.0;23.1;18.7;21.7
900112215;2020;23;1545680.0;1.6;0.8;146;101;169;63.6;12.1;28.7;22.0;19.9
900112215;2019;17;1010963.0;1.5;0.8;108;86;141;59.3;5.5;28.8;23.3;22.2
900112215;2018;12;665929.0;1.4;0.9;79;82;133;62.0;1.2;30.5;22.6;21.7
900187140;2020;2;170735.0;0.9;0.8;37;63;181;61.1;22.6;62.4;47.1;49.8
900187140;2019;21;1099791.0;1.6;1.4;48;112;179;57.4;29.6;73.1;53.3;56.8
900187140;2018;21;1130516.0;1.7;1.5;44;122;172;59.9;29.5;64.8;44.9;49.9
900239001;2019;28;65574401.0;3.6;2.5;69;87;45;17.5;0.0;41.0;26.3;31.5
900239001;2018;17;26207729.0;3.2;1.5;75;30;34;14.2;0.0;25.2;9.1;11.3
900304305;2020;0;5956.0;1.3;0.6;103;29;139;63.9;16.7;18.8;15.3;16.6
900304305;2019;6;960863.0;1.3;0.5;91;22;89;64.4;23.5;18.5;14.2;16.0
900304305;2018;8;1148431.0;1.1;0.5;81;58;112;72.7;23.9;15.0;11.2;13.0
900361775;2020;-3;-1567496.0;1.5;0.9;106;42;177;61.3;23.4;20.6;19.6;18.9
900361775;2019;0;220041.0;1.4;0.9;50;44;101;46.6;1.4;16.2;13.4;12.3
900361775;2018;22;7854150.0;1.7;1.0;68;63;49;45.1;40.5;10.9;8.9;6.6
900481586;2020;3;2125839.0;1.5;0.9;98;47;147;43.4;0.1;29.5;25.0;28.8
900481586;2019;3;1842454.0;1.7;1.1;69;48;121;37.7;0.4;27.5;23.1;25.7
900481586;2018;6;3200338.0;1.5;0.9;73;48;109;37.4;0.7;27.0;7.0;9.6
900488165;2020;6;109419.0;2.5;1.4;153;124;310;62.4;0.9;35.1;11.5;13.8
900488165;2019;3;44847.0;1.6;1.2;70;105;210;54.7;15.2;32.9;11.4;16.3
900488165;2018;4;177136.0;1.5;1.3;14;36;39;36.4;12.9;19.0;1.5;3.0
900506207;2020;23;411932.0;1.0;0.2;175;0;65;48.5;0.0;22.5;18.6;18.7
900506207;2019;8;209141.0;1.5;0.3;122;0;78;31.9;1.7;28.9;27.6;28.6
900648424;2020;6;234588.0;1.2;0.7;73;78;141;71.1;11.8;19.2;10.9;9.3
900648424;2019;9;369862.0;1.1;0.7;76;118;178;79.8;14.4;16.9;9.7;9.0
900648424;2018;11;372798.0;1.0;0.7;85;120;182;81.3;21.7;17.6;10.2;9.0
900749094;2020;12;2316776.0;1.7;1.1;44;25;17;58.0;51.1;26.0;18.4;18.6
900749094;2019;13;2708726.0;1.4;0.8;55;26;28;70.8;50.5;26.1;17.9;17.5
900749094;2018;14;2553615.0;1.4;0.7;83;29;52;75.6;53.4;26.3;19.2;17.7
900839078;2020;-109;-48817212.0;0.3;0.2;95;83;642;97.6;0.7;12.4;-3.0;-13.8
900839078;2019;-89;-44763769.0;0.4;0.2;101;74;545;88.5;0.5;10.8;-3.4;-13.9
900839078;2018;1;653975.0;0.7;0.4;88;75;173;78.7;64.6;17.4;1.2;-5.2
900859896;2020;14;980586.0;1.8;1.2;60;81;98;56.8;23.3;21.2;10.2;11.6
900859896;2019;10;676274.0;1.3;0.9;101;157;251;82.5;5.7;20.4;6.6;7.9
900859896;2018;8;355793.0;1.3;1.1;40;141;175;80.4;5.5;19.5;9.1;10.4
900916121;2020;0;132758.0;0.8;0.7;14;51;77;34.6;55.2;18.7;4.8;-10.5
900916121;2019;-2;-2186129.0;0.8;0.7;13;61;98;37.8;31.9;17.4;4.4;7.3
900916121;2018;0;280954.0;1.0;0.9;8;54;78;26.3;27.4;23.6;10.4;9.2
901026852;2020;-3;-823501.0;0.8;0.5;46;67;140;90.3;68.1;13.0;10.9;5.9
901026852;2019;0;34610.0;1.0;0.6;57;80;147;92.1;70.3;12.2;10.4;3.3
901026852;2018;-175;-6187395.0;0.5;0.3;230;277;1083;90.1;51.4;-6.9;-15.8;-29.2
901167792;2020;36;9841244.0;1.8;1.0;186;43;25;49.1;29.2;44.4;30.8;34.5
901167792;2019;38;10196967.0;2.1;0.9;195;33;4;40.7;40.8;44.8;30.2;32.9
901167792;2018;40;9481452.0;1.8;0.8;193;38;6;47.3;38.0;43.2;27.6;33.4
